link,title,location,description,company_name
https://wuzzuf.net/jobs/p/oFzMDbFWIJE6-Data-Analyst-Cairo-Egypt?o=47&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Analyst,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · Business Development · Analyst/Research · analytical · Analyst · Data · Data Analyst,Confidential -
https://wuzzuf.net/jobs/p/ErMRZ3xYZOh4-BI-Developer-On-Site-Union-Coop-Giza-Egypt?o=48&l=sp&t=sj&a=data science|search-v3|hpb|spbg,BI Developer (On-Site),"Dokki, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · BI · Computer Science · Power BI · SSIS · SSRS · SSAS · Data Warehouse · Information Technology (IT),Union Coop -
https://wuzzuf.net/jobs/p/TTS23DybKMHv-Senior-Sales-Account-Manager-IT-Infrastructure-Cairo-Egypt?o=49&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Sales Account Manager (IT Infrastructure),"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Data Centers · Servers · IT Sales · Sales Skills · IT Infrastructure Sales · Sales Target · Computer Science,Confidential -
https://wuzzuf.net/jobs/p/vgk1zH3toGcK-Data-Analyst-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt?o=50&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Analyst,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau,Hands of Hope Physical Therapy & Wellness -
https://wuzzuf.net/jobs/p/WVkPdFh7G2Wk-Business-analyst-Dawi-Clinics-Cairo-Egypt?o=51&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Business analyst,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · Business Analysis · Data · Information Technology (IT) · Information technology · Power BI · BI · Technical Writing,Dawi Clinics -
https://wuzzuf.net/jobs/p/RZUMQ4xVaZxq-Senior-Machine-Learning-Engineer-Media-Sci-Cairo-Egypt?o=52&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Machine Learning Engineer,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Algorithms · Information Technology (IT) · Machine Learning · Software Engineering · Python · OOP · NLP,Media Sci -
https://wuzzuf.net/jobs/p/BLSvASIIUea4-IT-Manager-Cairo-Egypt?o=53&l=sp&t=sj&a=data science|search-v3|hpb|spbg,IT Manager,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 6 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · computer · Computer Science · Communication skills · Information Technology (IT) · IT · Technical Support · technical,Confidential -
https://wuzzuf.net/jobs/p/FN9FICbpNi6w-Front-End-Developer-Vuejs-Dafa-Giza-Egypt?o=54&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Front End Developer (Vue.js),"Haram, Giza, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · front-end · Information Technology (IT) · JavaScript · Programming · SEO · Software Development · Web Development,Dafa -
https://wuzzuf.net/jobs/p/OeaT5vsMD3Ri-Senior-social-media-specialist-Media-Sci-Cairo-Egypt?o=55&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior social media specialist,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Research · Computer Science · Economics · Database,Media Sci -
https://wuzzuf.net/jobs/p/XGazJPqm1IhZ-Junior-Product-Manager-Seoudi-Supermarket-Giza-Egypt?o=56&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Junior Product Manager,"Sheikh Zayed, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Sales/Retail · Computer Science · Product Management · Agile,Seoudi Supermarket -
https://wuzzuf.net/jobs/p/ZZLMkV9a1FST-Senior-Backend-Developer-The-Address-Investments-for-Real-Estate-Consultancy-Cairo-Egypt?o=57&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Backend Developer,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · APIs · Computer Science · Information Technology (IT) · Software Development · Software Engineering · HTML5 · Laravel · JavaScript,The Address Investments for Real Estate Consultancy -
https://wuzzuf.net/jobs/p/dfVo2jjZ7Zgm-Machine-Learning-Engineer-Equilibrium-Technologies-Cairo-Egypt?o=58&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Machine Learning Engineer,"Cairo, Egypt ",Full TimeExperienced · 2 - 10 Yrs of Exp · IT/Software Development · Machine Learning · Computer Science · Artificial Intelligence (AI) · DevOps · Python,Equilibrium Technologies -
https://wuzzuf.net/jobs/p/KuCmgoZ8rRLC-Senior-lab-analysts-food-environmental-sector-Food-development-Safety-center-Qalubia-Egypt?o=59&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior lab analysts (food &environmental sector),"Qaha, Qalubia, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · R&D/Science · Analysis · Chemistry · Laboratory · Science · Veterinary · analytical · LCMSMS · GCMSMS · pesticide residues,Food development & Safety center -
https://wuzzuf.net/jobs/p/npG6XKFW6aBz-Senior-User-Acceptance-Tester---Etisalat-UAE-Etisalat-Egypt-Cairo-Egypt?o=60&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior User Acceptance Tester - Etisalat UAE,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Accounting · Analyst · Computer Science · Information Technology (IT) · Analysis · Software · Certified Software Tester · Certified Tester Foundation Level,Etisalat Egypt -
https://wuzzuf.net/jobs/p/8mbWK6vpb8TQ-BI-Developer-IDH-Giza-Egypt?o=61&l=sp&t=sj&a=data science|search-v3|hpb|spbg,BI Developer,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · BI · Analysis · Computer Science · Database · Oracle · Power BI · SQL · SSRS,IDH -
https://wuzzuf.net/jobs/p/8zIyzU5wBtAX-IT-Section-Head-Mersal-Cairo-Egypt?o=62&l=sp&t=sj&a=data science|search-v3|hpb|spbg,IT Section Head,"Maadi, Cairo, Egypt ",Full TimeManager · 8 - 10 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · IT · Management · Project Management · Information Technology (IT) · Computer Science,Mersal  -
https://wuzzuf.net/jobs/p/lGiML9gbpbGy-Cloud-Cybersecurity-Supervisor-Ejada-Jeddah-Saudi-Arabia?o=63&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Cloud Cybersecurity Supervisor,"Jeddah, Saudi Arabia ",Full TimeExperienced · 5 - 7 Yrs of Exp · Banking · IT/Software Development · Cloud · Computer Science,Ejada  -
https://wuzzuf.net/jobs/p/4YMaW40Wioko-Environmental-specialist-Saint-Gobain-Suez-Egypt?o=64&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Environmental specialist,"Ain Sokhna, Suez, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · R&D/Science · Engineering - Other · Environment · Health &amp; Safety · HSE · Safety · Science · Health and Safety · Analysis · Chemistry,Saint-Gobain -
https://wuzzuf.net/jobs/p/s9FTCT7pfxC5-SQL-Database-Admin-3-Years-SQL-Fluent-Speakers-Only-FlairsTech-Cairo-Egypt?o=65&l=sp&t=sj&a=data science|search-v3|hpb|spbg,SQL Database Admin (3 Years SQL) Fluent Speakers Only,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Database · Database Design · Information Technology (IT) · MS SQL · Oracle · DBA,FlairsTech -
